assetcode;title;offdaystradingpricerangeshift;offdaystradingrangecs
R2000;Фьючерсный контракт на акции инвестиционного фонда Russell 2000 ETF;0.03;1.8
RASP;"Фьючерсный контракт на обыкновенные акции ПАО ""Распадская""";0.03;1.8
RENI;Фьючерсный контракт на обыкн. акции ПАО «Группа Ренессанс Страхование»;0.03;1.8
RGBI;Фьючерсный контракт на Индекс RGBI;0.03;1.8
RGBIF;Однодневный фьюч. контракт с автопрол. на Индекс МосБиржи гос. обл. RGBILP;0.03;1.8
RNFT;"Фьючерсный контракт на обыкновенные акции ПАО НК ""РуссНефть""";0.03;1.8
ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";0.03;1.8
RTKM;"Фьючерсный контракт на обыкновенные акции ПАО ""Ростелеком""";0.03;1.8
RTKMP;"Фьючерсный контракт на привилегированные акции ПАО ""Ростелеком""";0.03;1.8
RTS;Фьючерсный контракт на Индекс РТС;0.03;1.8
RTSM;Фьючерсный контракт на Индекс РТС (мини);0.03;1.8
RUAL;"Фьючерсный контракт на обыкновенные акции МКПАО ""ОК ""РУСАЛ""";0.03;1.8
RUON;Фьючерсный контракт на ставку RUONIA;0.0075;1.8
RUONIA;Фьючерсный контракт на Индекс RUONIA;0.03;1.8
RVI;Фьючерсный контракт на волатильность российского рынка;0.03;1.8
Samsung;Фьючерсный контракт на aкции Samsung Electronics Co Ltd;0.06;1.8
SAP;Фьючерсный контракт на американские депозитарные расписки на акции САП;0.07;1.8
SAUDI;Фьючерсный контракт на акции инвестиционного фонда MSCI Saudi Arabia ETF;0.03;1.8
SBERF;Однодневный фьючерсный контракт с автопр. на обыкн. акции ПАО Сбербанк;0.03;1.8
SBPR;Фьючерсный контракт на привилегированные акции ПАО Сбербанк;0.03;1.8
SBRF;Фьючерсный контракт на обыкновенные акции ПАО Сбербанк;0.03;1.8
SFIN;"Фьючерсный контракт на обыкновенные акции ПАО ""ЭсЭфАй""";0.03;1.8
SGZH;Фьючерсный контракт на обыкновенные акции ПАО “Сегежа Групп”;0.03;1.8
Si;на курс доллар США - российский рубль;0.03;1.8
SIBN;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром нефть""";0.03;1.8
SILV;Фьючерсный контракт на аффинированное серебро в слитках;1.0;1.8
SILVM;Фьючерсный контракт на серебро (мини);1.0;1.8
SL;Расчетный фьючерсный контракт на серебро;0.06;1.8
SLVRUBTOM;Однодневный фьючерсный контракт с автопролонгацией на серебро;0.06;1.8
SMLT;"Фьючерсный контракт на обыкновенные акции ПАО ""Группа компаний ""Самолет""";0.03;1.8
SNGP;"Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""";0.03;1.8
SNGR;"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""";0.03;1.8
SOFL;"Фьючерсный контракт на обыкновенные акции ПАО ""Софтлайн""";0.03;1.8
SOL;Фьючерсный контракт на Индекс МосБиржи Соланы;0.19;1.8
SONY;Фьючерсный контракт на АДР на акции Сони Груп Корпорейшен;0.08;1.8
SOXQ;Фьючерсный контракт на акции инвестиционного фонда SOXQ ETF;0.03;1.8
SPBE;"Фьючерсный контракт на обыкновенные акции ПАО ""СПБ Биржа""";0.03;1.8
SPYF;Фьючерсный контракт на инвестиционные паи SPY ETF Trust;1.0;1.8
STOX;Фьючерсный контракт на акции инвестиционного фонда Евро Стокс 50 ETF;0.04;1.8
SUGAR;Расчетный фьючерсный контракт на сахар;0.05;1.8
SUGR;Фьючерсный контракт на сахар-сырец;0.05;1.8
SVCB;"Фьючерсный контракт на обыкновенные акции ПАО ""Совкомбанк""";0.03;1.8
T;"Фьючерсный контракт на обыкновенные акции МКПАО ""Т-Технологии""";0.03;1.8
TATN;"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";0.03;1.8
TATP;Фьючерсный контракт на прив. акции ПАО «Татнефть» им. В.Д. Шашина;0.03;1.8
TCSI;"Фьючерсный контракт на обыкновенные акции МКПАО ""ТКС Холдинг""";0.03;1.8
TENCENT;Фьючерсный контракт на акции Тенсент Холдингс Лимитед;0.03;1.8
TLT;Фьючерсный контракт на акции инвестиционного фонда TLT ETF;0.03;1.8
TOYOTA;Фьючерсный контракт на АДР на акции Тойота Мотор Корпорейшн;0.06;1.8
TRNF;"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""";0.03;1.8
TRX;Фьючерсный контракт на Индекс МосБиржи Трона;0.15;1.8
TRY;на курс турецкая лира – российский рубль;0.03;1.8
TSM;Фьючерсный контракт на американские депозитарные расписки на акции TSMC;0.07;1.8
TTF;Фьючерсный контракт на природный газ Датч ТТФ;0.06;1.8
UCAD;на курс доллар США - канадский доллар;0.03;1.8
UCHF;на курс доллар США-швейцарский франк;0.03;1.8
UCNY;на курс доллар США – китайский юань;0.03;1.8
UINR;на курс доллар США – индийская рупия;0.03;1.8
UJPY;на курс доллар США – японская йена;0.03;1.8
UKZT;на курс доллар США - казахстанский тенге;0.03;1.8
UPRO;Фьючерсный контракт на обыкновенные акции ПАО «Юнипро»;0.03;1.8
USDM;на курс доллар США – российский рубль мини;0.03;1.8
USDRUBTOM;на курс доллар США - российский рубль;0.03;1.8
UTRY;на курс доллар США - турецкая лира;0.03;1.8
VKCO;"Фьючерсный контракт на обыкновенные акции МКПАО ""ВК""";0.03;1.8
VTBR;Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО);0.03;1.8
WHEAT;Фьючерсный контракт на пшеницу;0.03;1.8
WTI;на нефть ВТИ;0.07;1.8
WUSH;"Фьючерсный контракт на обыкновенные акции ПАО ""ВУШ Холдинг""";0.03;1.8
X5;Фьючерсный контракт на обыкновенные акции ПАО «Корпоративный центр ИКС 5»;0.03;1.8
XIA;Фьючерсный контракт на акции Сяоми Корпорэйшн;0.03;1.8
XRP;Фьючерсный контракт на Индекс МосБиржи Рипла;0.215;1.8
YDEX;"Фьючерсный контракт на обыкновенные акции МКПАО ""ЯНДЕКС""";0.03;1.8
ZINC;Фьючерсный контракт на цинк;0.03;1.8
